Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,Latitude,Longitude,geometry,zipcode,PO
PD201800175995,02/17/2018 05:22:00 AM,20180156876,C,46,Vehicle Accident - Personal Injury,6,ASSISTED OTHER UNIT,0.0,EXIT 221A I40 E,535C,H,21,36.166,-86.612,POINT (-86.61200000000001 36.166),37076,HERMITAGE
PD201800176339,02/17/2018 09:22:00 AM,20180157192,A,88,Investigate 911 Hang-Up Call,5,GONE ON ARRIVAL,4000.0,SELLS DR ,523A,H,23,36.169,-86.595,POINT (-86.595 36.169),37076,HERMITAGE
PD201800176489,02/17/2018 10:58:00 AM,20180157316,A,63,Suicidal Person,10,NO RESPONSE,500.0,TULIP GROVE RD ,515A,H,23,36.208,-86.59,POINT (-86.59 36.208),37076,HERMITAGE
PD201800176892,02/17/2018 02:50:00 PM,20180157574,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,521B,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800177139,02/17/2018 04:56:00 PM,20180157793,B,96,Business Check,15,COMMUNITY POLICING,5400.0,OLD HICKORY BLVD ,523B,H,21,36.183,-86.609,POINT (-86.60899999999999 36.183),37076,HERMITAGE
PD201800176537,02/17/2018 11:33:00 AM,0,A,70,Burglary - Residence,11,DISREGARD / SIGNAL 9,700.0,RACHELS TRL ,,H,23,36.205,-86.605,POINT (-86.605 36.205),37076,HERMITAGE
PD201800176484,02/17/2018 10:54:00 AM,20180157324,A,44,Disorderly Person,6,ASSISTED OTHER UNIT,1400.0,PRINCETON PL ,523A,H,21,36.173,-86.604,POINT (-86.604 36.173),37076,HERMITAGE
PD201800175416,02/17/2018 12:33:00 AM,20180156347,C,40,Suspicious Person,2,"ARREST, CUSTODIAL OR CITATION",3800.0,BELL RD ,523C,H,21,36.159,-86.615,POINT (-86.61499999999999 36.159),37076,HERMITAGE
PD201800176265,02/17/2018 08:42:00 AM,20180157126,A,43,Want Officer for Investigation / Assistance,3,CITATION - TRAFFIC,300.0,GRIFFIN PL ,525A,H,25,36.218,-86.593,POINT (-86.59299999999999 36.218),37076,HERMITAGE
PD201800175408,02/17/2018 12:30:00 AM,0,C,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,1400.0,PRINCETON PL ,,H,21,36.173,-86.604,POINT (-86.604 36.173),37076,HERMITAGE
PD201800177581,02/17/2018 07:10:00 PM,20180158164,B,43,Want Officer for Investigation / Assistance,2,"ARREST, CUSTODIAL OR CITATION",5700.0,OLD HICKORY BLVD ,4563,H,23,36.172,-86.601,POINT (-86.601 36.172),37076,HERMITAGE
PD201800177985,02/17/2018 09:10:00 PM,20180158523,B,93,Traffic Violation,6,ASSISTED OTHER UNIT,0.0,OLD HICKORY BLVD & I40 E,3825,H,21,36.17,-86.601,POINT (-86.601 36.17),37076,HERMITAGE
PD201800178588,02/18/2018 12:52:00 AM,0,C,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,3800.0,CENTRAL PKE ,,H,21,36.174,-86.608,POINT (-86.60799999999999 36.174),37076,HERMITAGE
PD201800179009,02/18/2018 05:15:00 AM,20180159418,C,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,5153,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800177566,02/17/2018 07:06:00 PM,0,B,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,1800.0,OAKWELL FARMS LN ,,H,21,36.167,-86.615,POINT (-86.61499999999999 36.167),37076,HERMITAGE
PD201800178998,02/18/2018 05:05:00 AM,20180159410,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & TRENTON ,521C,H,23,36.214,-86.598,POINT (-86.598 36.214),37076,HERMITAGE
PD201800178797,02/18/2018 02:20:00 AM,20180159219,C,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,2000.0,HERMITAGE PARK DR ,3332,H,23,36.167,-86.595,POINT (-86.595 36.167),37076,HERMITAGE
PD201800178414,02/17/2018 11:48:00 PM,20180158972,,71,Burglary - Non-Residence,12,LOCATION/BUILDING SECURE,5000.0,OLD HICKORY BLVD ,521C,H,21,36.193,-86.619,POINT (-86.619 36.193),37076,HERMITAGE
PD201800177459,02/17/2018 06:36:00 PM,20180158064,B,15,Community Policing Activity,12,LOCATION/BUILDING SECURE,3700.0,BELL RD ,2945,H,33,36.157,-86.619,POINT (-86.619 36.157),37076,HERMITAGE
PD201800179061,02/18/2018 05:56:00 AM,20180159462,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & TRENTON ,521C,H,23,36.214,-86.598,POINT (-86.598 36.214),37076,HERMITAGE
PD201800177886,02/17/2018 08:40:00 PM,20180158552,B,70,Burglary - Residence,13,FALSE CALL,100.0,LAKESIDE CT ,532B,H,21,36.176,-86.617,POINT (-86.617 36.176),37076,HERMITAGE
PD201800178986,02/18/2018 04:51:00 AM,20180159397,C,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,322C,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800178874,02/18/2018 03:25:00 AM,20180159292,C,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,1400.0,PRINCETON PL ,521C,H,21,36.173,-86.604,POINT (-86.604 36.173),37076,HERMITAGE
PD201800177614,02/17/2018 07:19:00 PM,20180158457,B,45,Vehicle Accident - Property Damage,5,GONE ON ARRIVAL,0.0,PLANTATION DR & OLD HICKORY BL,532B,H,21,36.201,-86.621,POINT (-86.62100000000001 36.201),37076,HERMITAGE
PD201800178406,02/17/2018 11:45:00 PM,20180158917,,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,1000.0,HICKORY HILL LN ,513C,H,21,36.189,-86.633,POINT (-86.633 36.189),37076,HERMITAGE
PD201800178115,02/17/2018 09:55:00 PM,0,B,44,Disorderly Person,11,DISREGARD / SIGNAL 9,500.0,CHANDLER PL ,,H,21,36.182,-86.61,POINT (-86.61 36.182),37076,HERMITAGE
PD201800178487,02/18/2018 12:15:00 AM,20180158958,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & CENTRAL PKE,5838,H,21,36.187,-86.631,POINT (-86.631 36.187),37076,HERMITAGE
PD201800177846,02/17/2018 08:27:00 PM,0,B,45,Vehicle Accident - Property Damage,11,DISREGARD / SIGNAL 9,5900.0,OLD HICKORY BLVD ,,H,21,36.166,-86.598,POINT (-86.598 36.166),37076,HERMITAGE
PD201800178763,02/18/2018 02:02:00 AM,20180159185,C,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,5600.0,OLD HICKORY BLVD ,3332,H,23,36.181,-86.602,POINT (-86.602 36.181),37076,HERMITAGE
PD201800178576,02/18/2018 12:47:00 AM,20180159252,C,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,3400.0,LEBANON PKE ,523C,H,21,36.191,-86.629,POINT (-86.62899999999999 36.191),37076,HERMITAGE
PD201800179080,02/18/2018 06:09:00 AM,20180159479,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & TRENTON ,521C,H,23,36.214,-86.598,POINT (-86.598 36.214),37076,HERMITAGE
PD201800178101,02/17/2018 09:50:00 PM,20180158635,B,43,Want Officer for Investigation / Assistance,6,ASSISTED OTHER UNIT,4300.0,BATON ROUGE DR ,532B,H,23,36.204,-86.603,POINT (-86.60299999999999 36.204),37076,HERMITAGE
PD201800177965,02/17/2018 09:04:00 PM,20180159180,B,57,Fight / Assault,5,GONE ON ARRIVAL,5600.0,FRIST BLVD ,523C,H,21,36.176,-86.608,POINT (-86.60799999999999 36.176),37076,HERMITAGE
PD201800178975,02/18/2018 04:41:00 AM,20180159384,C,87,Safety Hazard,4,ASSISTED CITIZEN,0.0,MM 219 6 I40 E,5153,H,21,36.161,-86.62,POINT (-86.62 36.161),37076,HERMITAGE
PD201800178724,02/18/2018 01:46:00 AM,20180159158,C,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,1300.0,TULIP GROVE RD ,3332,H,23,36.175,-86.596,POINT (-86.596 36.175),37076,HERMITAGE
PD201800179070,02/18/2018 06:03:00 AM,20180159470,C,93,Traffic Violation,3,CITATION - TRAFFIC,4000.0,LEBANON PKE ,523C,H,21,36.197,-86.621,POINT (-86.62100000000001 36.197),37076,HERMITAGE
PD201800178209,02/17/2018 10:28:00 PM,20180158713,B,96,Business Check,12,LOCATION/BUILDING SECURE,4200.0,ANDREW JACKSON PKWY ,523B,H,23,36.203,-86.608,POINT (-86.60799999999999 36.203),37076,HERMITAGE
PD201800179051,02/18/2018 05:49:00 AM,20180159452,C,15,Community Policing Activity,15,COMMUNITY POLICING,3700.0,BELL RD ,2911,H,33,36.157,-86.619,POINT (-86.619 36.157),37076,HERMITAGE
PD201800178898,02/18/2018 03:36:00 AM,20180159565,C,16,Transport Prisoner / Suspect,11,DISREGARD / SIGNAL 9,5600.0,FRIST BLVD ,525A,H,21,36.176,-86.608,POINT (-86.60799999999999 36.176),37076,HERMITAGE
PD201800177329,02/17/2018 05:58:00 PM,0,B,70,Burglary - Residence,11,DISREGARD / SIGNAL 9,1400.0,WHITETAIL CT ,,H,23,36.19,-86.577,POINT (-86.57700000000001 36.19),37076,HERMITAGE
PD201800177695,02/17/2018 07:45:00 PM,0,B,44,Disorderly Person,11,DISREGARD / SIGNAL 9,5600.0,FRIST BLVD ,,H,21,36.176,-86.608,POINT (-86.60799999999999 36.176),37076,HERMITAGE
PD201800179007,02/18/2018 05:11:00 AM,20180159416,C,83,Shots Fired,11,DISREGARD / SIGNAL 9,500.0,TULIP GROVE RD ,714C,H,23,36.208,-86.59,POINT (-86.59 36.208),37076,HERMITAGE
PD201800178445,02/17/2018 11:57:00 PM,20180158938,,44,Disorderly Person,6,ASSISTED OTHER UNIT,1400.0,PRINCETON PL ,533C,H,21,36.173,-86.603,POINT (-86.60299999999999 36.173),37076,HERMITAGE
PD201800178738,02/18/2018 01:49:00 AM,20180159173,C,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,0.0,BONNASPRING DR & BONNACREEK DR,512C,H,21,36.198,-86.623,POINT (-86.62299999999999 36.198),37076,HERMITAGE
PD201800179052,02/18/2018 05:49:00 AM,20180159453,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,HIGHLAND VIEW DR & ANDREW JACK,521C,H,23,36.207,-86.606,POINT (-86.60600000000001 36.207),37076,HERMITAGE
PD201800180804,02/18/2018 08:40:00 PM,20180160892,B,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,400.0,SCOTTS CREEK TRL ,532B,H,23,36.202,-86.594,POINT (-86.59399999999999 36.202),37076,HERMITAGE
PD201800181037,02/18/2018 10:05:00 PM,20180161050,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & OLD LEBA,5F13,H,21,36.188,-86.608,POINT (-86.60799999999999 36.188),37076,HERMITAGE
PD201800179978,02/18/2018 02:44:00 PM,20180160216,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,513B,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800180965,02/18/2018 09:41:00 PM,20180161422,B,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,4500.0,RACCOON TRL ,523C,H,23,36.191,-86.579,POINT (-86.57899999999999 36.191),37076,HERMITAGE
PD201800180080,02/18/2018 03:34:00 PM,20180160553,B,44,Disorderly Person,5,GONE ON ARRIVAL,0.0,FOREST RIDGE DR & FOREST RIDGE,524B,H,23,36.177,-86.586,POINT (-86.586 36.177),37076,HERMITAGE
PD201800179221,02/18/2018 07:45:00 AM,20180159612,A,94,Personal Relief,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,521A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800180990,02/18/2018 09:49:00 PM,20180161976,B,43,Want Officer for Investigation / Assistance,14,ASSISTANCE REFUSED,3900.0,ANDREW JACKSON WAY ,523C,H,23,36.183,-86.608,POINT (-86.60799999999999 36.183),37076,HERMITAGE
PD201800180244,02/18/2018 04:45:00 PM,20180160447,B,40,Suspicious Person,6,ASSISTED OTHER UNIT,1300.0,TULIP GROVE RD ,524B,H,23,36.175,-86.596,POINT (-86.596 36.175),37076,HERMITAGE
PD201800180197,02/18/2018 04:24:00 PM,20180160415,B,43,Want Officer for Investigation / Assistance,10,NO RESPONSE,4200.0,STONE HALL BLVD ,524B,H,21,36.193,-86.639,POINT (-86.639 36.193),37076,HERMITAGE
PD201800179556,02/18/2018 10:47:00 AM,20180159914,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & HIGHLAND,523A,H,23,36.207,-86.606,POINT (-86.60600000000001 36.207),37076,HERMITAGE
PD201800179379,02/18/2018 09:04:00 AM,20180159767,A,16,Transport Prisoner / Suspect,4,ASSISTED CITIZEN,5600.0,FRIST BLVD ,522A,H,21,36.176,-86.608,POINT (-86.60799999999999 36.176),37076,HERMITAGE
PD201800180586,02/18/2018 07:07:00 PM,20180161092,B,40,Suspicious Person,5,GONE ON ARRIVAL,1400.0,CENTRAL CT ,522B,H,23,36.171,-86.598,POINT (-86.598 36.171),37076,HERMITAGE
PD201800179537,02/18/2018 10:33:00 AM,20180159899,A,93,Traffic Violation,9,SUBJECT WARNED,4400.0,ANDREW JACKSON PKWY ,523A,H,23,36.209,-86.604,POINT (-86.604 36.209),37076,HERMITAGE
PD201800180002,02/18/2018 02:55:00 PM,20180160252,A,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,200.0,JUAREZ DR ,533B,H,21,36.192,-86.619,POINT (-86.619 36.192),37076,HERMITAGE
PD201800179538,02/18/2018 10:34:00 AM,20180159900,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & HIGHLAND VIEW DR,515A,H,23,36.207,-86.612,POINT (-86.61200000000001 36.207),37076,HERMITAGE
PD201800179944,02/18/2018 02:25:00 PM,20180160207,A,94,Personal Relief,4,ASSISTED CITIZEN,5300.0,WEBER RD ,522A,H,21,36.195,-86.61,POINT (-86.61 36.195),37076,HERMITAGE
PD201800180553,02/18/2018 06:55:00 PM,20180160723,B,43,Want Officer for Investigation / Assistance,10,NO RESPONSE,3900.0,BELL RD ,522B,H,21,36.166,-86.608,POINT (-86.60799999999999 36.166),37076,HERMITAGE
PD201800180157,02/18/2018 04:08:00 PM,0,B,44,Disorderly Person,4,ASSISTED CITIZEN,0.0,TULIP GROVE RD & ROCKWOOD DR,,H,23,36.176,-86.595,POINT (-86.595 36.176),37076,HERMITAGE
PD201800180679,02/18/2018 07:48:00 PM,0,B,40,Suspicious Person,11,DISREGARD / SIGNAL 9,4200.0,LEBANON PKE ,,H,23,36.204,-86.616,POINT (-86.616 36.204),37076,HERMITAGE
PD201800180412,02/18/2018 05:55:00 PM,0,B,16,Transport Prisoner / Suspect,11,DISREGARD / SIGNAL 9,5600.0,FRIST BLVD ,,H,21,36.176,-86.608,POINT (-86.60799999999999 36.176),37076,HERMITAGE
PD201800179869,02/18/2018 01:43:00 PM,20180160163,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & ALBANY D,523A,H,23,36.211,-86.6,POINT (-86.59999999999999 36.211),37076,HERMITAGE
PD201800179701,02/18/2018 12:25:00 PM,20180160031,A,43,Want Officer for Investigation / Assistance,15,COMMUNITY POLICING,5100.0,ROXBOROUGH DR ,523A,H,23,36.166,-86.583,POINT (-86.583 36.166),37076,HERMITAGE
PD201800179274,02/18/2018 08:09:00 AM,20180159658,A,45,Vehicle Accident - Property Damage,6,ASSISTED OTHER UNIT,5900.0,OLD HICKORY BLVD ,521A,H,21,36.166,-86.6,POINT (-86.59999999999999 36.166),37076,HERMITAGE
PD201800181034,02/18/2018 10:03:00 PM,20180161047,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & JACKSONIAN DR,5F16,H,21,36.193,-86.624,POINT (-86.624 36.193),37076,HERMITAGE
PD201800180487,02/18/2018 06:28:00 PM,20180161093,B,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,4100.0,LEBANON PKE ,522B,H,23,36.201,-86.618,POINT (-86.61799999999999 36.201),37076,HERMITAGE
PD201800179124,02/18/2018 06:39:00 AM,20180159555,C,71,Burglary - Non-Residence,12,LOCATION/BUILDING SECURE,1100.0,CRYSTAL SPRING LN ,522A,H,21,36.174,-86.611,POINT (-86.611 36.174),37076,HERMITAGE
PD201800180807,02/18/2018 08:41:00 PM,20180160887,B,43,Want Officer for Investigation / Assistance,10,NO RESPONSE,5700.0,OLD HICKORY BLVD ,523B,H,23,36.173,-86.602,POINT (-86.602 36.173),37076,HERMITAGE
PD201800179268,02/18/2018 08:06:00 AM,20180159654,A,16,Transport Prisoner / Suspect,4,ASSISTED CITIZEN,5600.0,FRIST BLVD ,522A,H,21,36.176,-86.608,POINT (-86.60799999999999 36.176),37076,HERMITAGE
PD201800180628,02/18/2018 07:26:00 PM,20180161077,B,44,Disorderly Person,5,GONE ON ARRIVAL,0.0,ANDREW JACKSON PKWY & CHASE BL,525B,H,25,36.225,-86.598,POINT (-86.598 36.225),37076,HERMITAGE
PD201800180067,02/18/2018 03:30:00 PM,20180160521,B,44,Disorderly Person,6,ASSISTED OTHER UNIT,4700.0,LEBANON PKE ,525B,H,25,36.215,-86.593,POINT (-86.59299999999999 36.215),37076,HERMITAGE
PD201800180657,02/18/2018 07:37:00 PM,20180160754,B,83,Shots Fired,10,NO RESPONSE,4400.0,LEBANON PKE ,522B,H,25,36.216,-86.6,POINT (-86.59999999999999 36.216),37076,HERMITAGE
PD201800179299,02/18/2018 08:26:00 AM,20180159684,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,511A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800179381,02/18/2018 09:05:00 AM,20180159763,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & STONERS ,525A,H,21,36.193,-86.607,POINT (-86.60700000000001 36.193),37076,HERMITAGE
PD201800179450,02/18/2018 09:41:00 AM,20180159823,A,96,Business Check,4,ASSISTED CITIZEN,5000.0,OLD HICKORY BLVD ,521A,H,21,36.193,-86.616,POINT (-86.616 36.193),37076,HERMITAGE
PD201800179524,02/18/2018 10:26:00 AM,20180159884,A,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,0.0,LEBANON PKE & OLD HICKORY BLVD,515A,H,21,36.198,-86.62,POINT (-86.62 36.198),37076,HERMITAGE
PD201800180060,02/18/2018 03:27:00 PM,20180160350,B,44,Disorderly Person,4,ASSISTED CITIZEN,4400.0,LEBANON PKE ,525B,H,25,36.216,-86.6,POINT (-86.59999999999999 36.216),37076,HERMITAGE
PD201800180750,02/18/2018 08:16:00 PM,20180161167,B,40,Suspicious Person,10,NO RESPONSE,4400.0,LEBANON PKE ,5F11,H,23,36.214,-86.599,POINT (-86.59899999999999 36.214),37076,HERMITAGE
PD201800179629,02/18/2018 11:36:00 AM,0,A,70,Burglary - Residence,11,DISREGARD / SIGNAL 9,3100.0,CEDAR COTTAGE DR ,,H,21,36.166,-86.627,POINT (-86.62700000000001 36.166),37076,HERMITAGE
PD201800179989,02/18/2018 02:49:00 PM,20180160544,A,87,Safety Hazard,5,GONE ON ARRIVAL,0.0,EXIT 221A I40 E,521B,H,21,36.166,-86.612,POINT (-86.61200000000001 36.166),37076,HERMITAGE
PD201800179148,02/18/2018 07:04:00 AM,20180159577,A,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,3400.0,LEBANON PKE ,525A,H,21,36.189,-86.627,POINT (-86.62700000000001 36.189),37076,HERMITAGE
PD201800180131,02/18/2018 03:56:00 PM,20180160361,B,43,Want Officer for Investigation / Assistance,6,ASSISTED OTHER UNIT,4100.0,LEBANON PKE ,522B,H,21,36.201,-86.618,POINT (-86.61799999999999 36.201),37076,HERMITAGE
PD201800180155,02/18/2018 04:06:00 PM,20180160377,B,40,Suspicious Person,9,SUBJECT WARNED,4100.0,LEBANON PKE ,522B,H,23,36.201,-86.618,POINT (-86.61799999999999 36.201),37076,HERMITAGE
PD201800179404,02/18/2018 09:16:00 AM,20180159784,A,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,3800.0,BONNACREEK DR ,525A,H,21,36.194,-86.633,POINT (-86.633 36.194),37076,HERMITAGE
PD201800180565,02/18/2018 06:59:00 PM,20180160686,B,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,1400.0,PRINCETON PL ,521B,H,21,36.173,-86.604,POINT (-86.604 36.173),37076,HERMITAGE
PD201800179641,02/18/2018 11:45:00 AM,20180160018,A,75,Missing Person,6,ASSISTED OTHER UNIT,0.0,828B HERITAGE TRL,515A,H,21,36.211,-86.63,POINT (-86.63 36.211),37076,HERMITAGE
PD201800180264,02/18/2018 04:51:00 PM,20180160451,B,40,Suspicious Person,9,SUBJECT WARNED,4400.0,LEBANON PKE ,525B,H,25,36.216,-86.6,POINT (-86.59999999999999 36.216),37076,HERMITAGE
PD201800179489,02/18/2018 10:00:00 AM,20180159860,A,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,3400.0,LEBANON PKE ,521A,H,21,36.189,-86.628,POINT (-86.62799999999999 36.189),37076,HERMITAGE
PD201800180506,02/18/2018 06:36:00 PM,20180160714,B,49,Vehicle Blocking Right of Way,5,GONE ON ARRIVAL,0.0,SHUTE LN & CHASE BLVD,525B,H,25,36.226,-86.603,POINT (-86.60299999999999 36.226),37076,HERMITAGE
PD201800179366,02/18/2018 08:58:00 AM,20180159749,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,OLD HICKORY BLVD & ANDREW JACK,522A,H,21,36.182,-86.608,POINT (-86.60799999999999 36.182),37076,HERMITAGE
PD201800180566,02/18/2018 07:01:00 PM,20180160735,B,43,Want Officer for Investigation / Assistance,6,ASSISTED OTHER UNIT,3900.0,CENTRAL PKE ,521B,H,21,36.174,-86.604,POINT (-86.604 36.174),37076,HERMITAGE
PD201800179403,02/18/2018 09:16:00 AM,20180159783,A,93,Traffic Violation,3,CITATION - TRAFFIC,0.0,ANDREW JACKSON PKWY & HIGHLAND,522A,H,23,36.207,-86.606,POINT (-86.60600000000001 36.207),37076,HERMITAGE
PD201800179127,02/18/2018 06:43:00 AM,20180159521,C,96,Business Check,4,ASSISTED CITIZEN,0.0,SHURGARD WAY & CENTRAL PKE,521A,H,21,36.174,-86.604,POINT (-86.604 36.174),37076,HERMITAGE
PD201800180063,02/18/2018 03:28:00 PM,20180160483,B,44,Disorderly Person,6,ASSISTED OTHER UNIT,4000.0,CENTRAL PKE ,524B,H,23,36.174,-86.601,POINT (-86.601 36.174),37076,HERMITAGE
PD201800179879,02/18/2018 01:49:00 PM,20180160172,A,96,Business Check,12,LOCATION/BUILDING SECURE,3900.0,LEBANON PKE ,5273,H,21,36.195,-86.623,POINT (-86.62299999999999 36.195),37076,HERMITAGE
PD201800180534,02/18/2018 06:48:00 PM,0,B,57,Fight / Assault,11,DISREGARD / SIGNAL 9,5600.0,OLD HICKORY BLVD ,,H,23,36.174,-86.602,POINT (-86.602 36.174),37076,HERMITAGE
