Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,Latitude,Longitude,geometry,zipcode,PO
PD201800190098,02/21/2018 07:30:00 AM,20180168985,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,CENTRAL PKE & LEBANON PKE,5F22,H,21,36.187,-86.631,POINT (-86.631 36.187),37076,HERMITAGE
PD201800189705,02/21/2018 04:37:00 AM,20180168627,C,96,Business Check,12,LOCATION/BUILDING SECURE,5000.0,OLD HICKORY BLVD ,521C,H,21,36.193,-86.616,POINT (-86.616 36.193),37076,HERMITAGE
PD201800190134,02/21/2018 07:39:00 AM,20180169018,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & DES MOIN,5T72,H,23,36.21,-86.602,POINT (-86.602 36.21),37076,HERMITAGE
PD201800189845,02/21/2018 05:35:00 AM,20180168761,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & OLD HICK,523C,H,21,36.184,-86.611,POINT (-86.611 36.184),37076,HERMITAGE
PD201800189549,02/21/2018 03:16:00 AM,20180168473,C,96,Business Check,12,LOCATION/BUILDING SECURE,5000.0,OLD HICKORY BLVD ,5F17,H,21,36.193,-86.616,POINT (-86.616 36.193),37076,HERMITAGE
PD201800189159,02/21/2018 12:47:00 AM,20180168090,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,CHANDLER RD & OAKCREST LN,5156,H,23,36.194,-86.601,POINT (-86.601 36.194),37076,HERMITAGE
PD201800189562,02/21/2018 03:21:00 AM,20180168486,C,96,Business Check,11,DISREGARD / SIGNAL 9,4400.0,LEBANON PKE ,5F13,H,23,36.214,-86.6,POINT (-86.59999999999999 36.214),37076,HERMITAGE
PD201800189098,02/21/2018 12:22:00 AM,20180168031,C,40,Suspicious Person,6,ASSISTED OTHER UNIT,3800.0,BELL RD ,521C,H,21,36.159,-86.615,POINT (-86.61499999999999 36.159),37076,HERMITAGE
PD201800190034,02/21/2018 07:06:00 AM,20180168935,A,44,Disorderly Person,5,GONE ON ARRIVAL,5700.0,OLD HICKORY BLVD ,523A,H,23,36.173,-86.602,POINT (-86.602 36.173),37076,HERMITAGE
PD201800189928,02/21/2018 06:12:00 AM,20180169185,C,87,Safety Hazard,5,GONE ON ARRIVAL,0.0,I40 W & OLD HICKORY BLVD,525A,H,21,36.17,-86.601,POINT (-86.601 36.17),37076,HERMITAGE
PD201800189389,02/21/2018 02:24:00 AM,20180168314,C,96,Business Check,15,COMMUNITY POLICING,5100.0,OLD HICKORY BLVD ,5F13,H,21,36.193,-86.615,POINT (-86.61499999999999 36.193),37076,HERMITAGE
PD201800189583,02/21/2018 03:28:00 AM,20180168506,C,93,Traffic Violation,9,SUBJECT WARNED,4400.0,ANDREW JACKSON PKWY ,523C,H,23,36.209,-86.604,POINT (-86.604 36.209),37076,HERMITAGE
PD201800189869,02/21/2018 05:42:00 AM,20180168785,C,96,Business Check,12,LOCATION/BUILDING SECURE,5500.0,OLD HICKORY BLVD ,523C,H,23,36.182,-86.605,POINT (-86.605 36.182),37076,HERMITAGE
PD201800190094,02/21/2018 07:29:00 AM,20180168981,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,5F21,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800189946,02/21/2018 06:18:00 AM,20180168856,C,96,Business Check,12,LOCATION/BUILDING SECURE,3500.0,CENTRAL PKE ,521C,H,21,36.187,-86.629,POINT (-86.62899999999999 36.187),37076,HERMITAGE
PD201800189599,02/21/2018 03:36:00 AM,20180168522,C,96,Business Check,12,LOCATION/BUILDING SECURE,4600.0,LEBANON PKE ,523C,H,23,36.215,-86.597,POINT (-86.59700000000001 36.215),37076,HERMITAGE
PD201800189252,02/21/2018 01:16:00 AM,20180168169,C,96,Business Check,12,LOCATION/BUILDING SECURE,4200.0,LEBANON PKE ,5F11,H,23,36.204,-86.615,POINT (-86.61499999999999 36.204),37076,HERMITAGE
PD201800190279,02/21/2018 08:21:00 AM,20180169326,A,75,Missing Person,4,ASSISTED CITIZEN,4000.0,ANDREW JACKSON WAY ,525A,H,21,36.186,-86.609,POINT (-86.60899999999999 36.186),37076,HERMITAGE
PD201800189099,02/21/2018 12:23:00 AM,20180168317,C,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,3700.0,ANDREW JACKSON WAY ,523C,H,23,36.183,-86.608,POINT (-86.60799999999999 36.183),37076,HERMITAGE
PD201800189081,02/21/2018 12:15:00 AM,20180168016,C,93,Traffic Violation,9,SUBJECT WARNED,3800.0,BELL RD ,521C,H,21,36.159,-86.615,POINT (-86.61499999999999 36.159),37076,HERMITAGE
PD201800190109,02/21/2018 07:32:00 AM,20180168994,A,3,Administrative/Special Assignment,15,COMMUNITY POLICING,5100.0,JOHN HAGAR RD ,523A,H,23,36.156,-86.579,POINT (-86.57899999999999 36.156),37076,HERMITAGE
PD201800190073,02/21/2018 07:21:00 AM,20180168964,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & TRENTON ,5T72,H,23,36.214,-86.598,POINT (-86.598 36.214),37076,HERMITAGE
PD201800188754,02/20/2018 10:08:00 PM,20180167718,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,CENTRAL PKE & OLD HICKORY BLVD,5F31,H,23,36.174,-86.602,POINT (-86.602 36.174),37076,HERMITAGE
PD201800189984,02/21/2018 06:46:00 AM,20180168880,C,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,513A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800189598,02/21/2018 03:34:00 AM,20180168521,C,96,Business Check,12,LOCATION/BUILDING SECURE,0.0,LEBANON PKE & ANDREW JACKSON P,5F13,H,23,36.215,-86.598,POINT (-86.598 36.215),37076,HERMITAGE
PD201800189571,02/21/2018 03:25:00 AM,20180168496,C,96,Business Check,12,LOCATION/BUILDING SECURE,4400.0,LEBANON PKE ,5F13,H,23,36.214,-86.599,POINT (-86.59899999999999 36.214),37076,HERMITAGE
PD201800189757,02/21/2018 04:57:00 AM,20180168677,C,93,Traffic Violation,3,CITATION - TRAFFIC,0.0,OLD HICKORY BLVD & LEBANON PKE,5156,H,21,36.198,-86.62,POINT (-86.62 36.198),37076,HERMITAGE
PD201800191212,02/21/2018 02:01:00 PM,20180169997,A,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,200.0,CAHABA CV ,521A,H,23,36.187,-86.596,POINT (-86.596 36.187),37076,HERMITAGE
PD201800191254,02/21/2018 02:14:00 PM,20180170021,A,96,Business Check,15,COMMUNITY POLICING,3700.0,CENTRAL PKE ,5F22,H,21,36.176,-86.616,POINT (-86.616 36.176),37076,HERMITAGE
PD201800192302,02/21/2018 07:23:00 PM,20180170884,B,43,Want Officer for Investigation / Assistance,15,COMMUNITY POLICING,3700.0,JAMES KAY LN ,580A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800190994,02/21/2018 12:42:00 PM,20180169781,A,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,HAPR,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800190688,02/21/2018 10:42:00 AM,20180169504,A,96,Business Check,9,SUBJECT WARNED,0.0,OLD HICKORY BLVD & LEBANON PKE,525A,H,21,36.198,-86.62,POINT (-86.62 36.198),37076,HERMITAGE
PD201800191700,02/21/2018 04:26:00 PM,20180170392,B,44,Disorderly Person,11,DISREGARD / SIGNAL 9,5600.0,FRIST BLVD ,525B,H,21,36.176,-86.608,POINT (-86.60799999999999 36.176),37076,HERMITAGE
PD201800192147,02/21/2018 06:31:00 PM,20180170902,B,71,Burglary - Non-Residence,12,LOCATION/BUILDING SECURE,3900.0,LEBANON PKE ,524B,H,21,36.194,-86.623,POINT (-86.62299999999999 36.194),37076,HERMITAGE
PD201800191561,02/21/2018 03:41:00 PM,20180170268,B,43,Want Officer for Investigation / Assistance,6,ASSISTED OTHER UNIT,5600.0,FRIST BLVD ,525B,H,21,36.176,-86.608,POINT (-86.60799999999999 36.176),37076,HERMITAGE
PD201800190610,02/21/2018 10:15:00 AM,20180169428,A,93,Traffic Violation,9,SUBJECT WARNED,4400.0,ANDREW JACKSON PKWY ,523A,H,23,36.209,-86.604,POINT (-86.604 36.209),37076,HERMITAGE
PD201800191520,02/21/2018 03:32:00 PM,20180170227,B,93,Traffic Violation,6,ASSISTED OTHER UNIT,0.0,OLD HICKORY BLVD & PLANTATION ,5F31,H,21,36.201,-86.621,POINT (-86.62100000000001 36.201),37076,HERMITAGE
PD201800190696,02/21/2018 10:46:00 AM,20180169507,A,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,2000.0,BAKERS GROVE LN ,3F41,S,35,36.103,-86.552,POINT (-86.55200000000001 36.103),37076,HERMITAGE
PD201800191481,02/21/2018 03:21:00 PM,20180170198,B,93,Traffic Violation,9,SUBJECT WARNED,300.0,OLD LEBANON DIRT RD ,5F35,H,21,36.191,-86.615,POINT (-86.61499999999999 36.191),37076,HERMITAGE
PD201800192141,02/21/2018 06:29:00 PM,20180170890,B,43,Want Officer for Investigation / Assistance,6,ASSISTED OTHER UNIT,5700.0,OLD HICKORY BLVD ,522C,H,21,36.172,-86.602,POINT (-86.602 36.172),37076,HERMITAGE
PD201800191221,02/21/2018 02:03:00 PM,20180169992,A,43,Want Officer for Investigation / Assistance,6,ASSISTED OTHER UNIT,100.0,LAKE CHATEAU DR ,523A,H,23,36.161,-86.596,POINT (-86.596 36.161),37076,HERMITAGE
PD201800190645,02/21/2018 10:28:00 AM,20180169474,A,45,Vehicle Accident - Property Damage,1,M.P.D. REPORT COMPLED,3400.0,LEBANON PKE ,5T72,H,21,36.19,-86.626,POINT (-86.626 36.19),37076,HERMITAGE
PD201800190633,02/21/2018 10:24:00 AM,20180169452,A,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,400.0,TYLER DR ,523A,H,23,36.199,-86.612,POINT (-86.61200000000001 36.199),37076,HERMITAGE
PD201800190963,02/21/2018 12:30:00 PM,20180169756,A,95,Meal Break,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,525A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800190941,02/21/2018 12:22:00 PM,20180169733,A,87,Safety Hazard,4,ASSISTED CITIZEN,0.0,OLD HICKORY BLVD & ANDREW JACK,5F30,H,21,36.184,-86.611,POINT (-86.611 36.184),37076,HERMITAGE
PD201800191757,02/21/2018 04:41:00 PM,20180170436,B,43,Want Officer for Investigation / Assistance,15,COMMUNITY POLICING,1600.0,BAKERS GROVE RD ,3F43,S,35,36.102,-86.553,POINT (-86.553 36.102),37076,HERMITAGE
PD201800192200,02/21/2018 06:48:00 PM,20180171131,B,45,Vehicle Accident - Property Damage,4,ASSISTED CITIZEN,5600.0,OLD HICKORY BLVD ,524B,H,23,36.181,-86.602,POINT (-86.602 36.181),37076,HERMITAGE
PD201800190582,02/21/2018 10:04:00 AM,20180169398,A,93,Traffic Violation,9,SUBJECT WARNED,4400.0,ANDREW JACKSON PKWY ,523A,H,23,36.209,-86.603,POINT (-86.60299999999999 36.209),37076,HERMITAGE
PD201800191368,02/21/2018 02:48:00 PM,20180170099,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,512B,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800191432,02/21/2018 03:07:00 PM,20180170154,B,15,Community Policing Activity,12,LOCATION/BUILDING SECURE,5400.0,OLD HICKORY BLVD ,525B,H,21,36.184,-86.61,POINT (-86.61 36.184),37076,HERMITAGE
PD201800191898,02/21/2018 05:19:00 PM,20180170556,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,OLD HICKORY BLVD & ANDREW JACK,5F34,H,21,36.184,-86.611,POINT (-86.611 36.184),37076,HERMITAGE
PD201800191390,02/21/2018 02:55:00 PM,20180170124,A,93,Traffic Violation,3,CITATION - TRAFFIC,0.0,BELL RD & LAKE CHATEAU DR,523B,H,23,36.161,-86.596,POINT (-86.596 36.161),37076,HERMITAGE
PD201800190983,02/21/2018 12:37:00 PM,20180169779,A,87,Safety Hazard,5,GONE ON ARRIVAL,0.0,OLD HICKORY BLVD & FRIST BLVD,5M77,H,21,36.182,-86.608,POINT (-86.60799999999999 36.182),37076,HERMITAGE
PD201800191245,02/21/2018 02:11:00 PM,20180170027,A,50,Theft,6,ASSISTED OTHER UNIT,4400.0,LEBANON PKE ,521A,H,25,36.216,-86.6,POINT (-86.59999999999999 36.216),37076,HERMITAGE
PD201800192261,02/21/2018 07:08:00 PM,0,B,50,Theft,11,DISREGARD / SIGNAL 9,100.0,ROWENA CT ,,H,23,36.21,-86.585,POINT (-86.58499999999999 36.21),37076,HERMITAGE
PD201800191734,02/21/2018 04:36:00 PM,20180170412,B,43,Want Officer for Investigation / Assistance,6,ASSISTED OTHER UNIT,3900.0,BELL RD ,525B,H,21,36.166,-86.608,POINT (-86.60799999999999 36.166),37076,HERMITAGE
PD201800191517,02/21/2018 03:31:00 PM,20180170225,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,OLD HICKORY BLVD & HERMITAGE W,5F12,H,21,36.177,-86.604,POINT (-86.604 36.177),37076,HERMITAGE
PD201800191405,02/21/2018 02:58:00 PM,20180170171,A,40,Suspicious Person,11,DISREGARD / SIGNAL 9,6100.0,ALLEN CT ,525B,H,23,36.18,-86.586,POINT (-86.586 36.18),37076,HERMITAGE
PD201800191750,02/21/2018 04:39:00 PM,20180170429,B,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,0.0,BAKERS GROVE LN & BAKERS GROVE,3F41,S,35,36.103,-86.553,POINT (-86.553 36.103),37076,HERMITAGE
PD201800191908,02/21/2018 05:22:00 PM,0,B,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,1100.0,RICHARD LEE CIR ,,H,23,36.199,-86.599,POINT (-86.59899999999999 36.199),37076,HERMITAGE
PD201800191000,02/21/2018 12:44:00 PM,20180169938,A,88,Investigate 911 Hang-Up Call,4,ASSISTED CITIZEN,1400.0,PRINCETON PL ,523A,H,21,36.173,-86.604,POINT (-86.604 36.173),37076,HERMITAGE
PD201800190612,02/21/2018 10:16:00 AM,20180169432,A,83,Shots Fired,10,NO RESPONSE,1600.0,BAKERS GROVE RD ,330A1,S,35,36.102,-86.554,POINT (-86.554 36.102),37076,HERMITAGE
PD201800190681,02/21/2018 10:39:00 AM,20180169496,A,93,Traffic Violation,3,CITATION - TRAFFIC,0.0,ANDREW JACKSON PKWY & TRENTON ,523A,H,23,36.214,-86.598,POINT (-86.598 36.214),37076,HERMITAGE
PD201800191069,02/21/2018 01:09:00 PM,20180169858,A,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,525A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800190816,02/21/2018 11:42:00 AM,20180169621,A,45,Vehicle Accident - Property Damage,1,M.P.D. REPORT COMPLED,0.0,CENTRAL PKE & LEBANON PKE,5T72,H,21,36.187,-86.631,POINT (-86.631 36.187),37076,HERMITAGE
PD201800190782,02/21/2018 11:28:00 AM,20180169591,A,43,Want Officer for Investigation / Assistance,15,COMMUNITY POLICING,4700.0,LEBANON PKE ,523A,H,25,36.216,-86.591,POINT (-86.59100000000001 36.216),37076,HERMITAGE
PD201800192082,02/21/2018 06:12:00 PM,20180171030,B,88,Investigate 911 Hang-Up Call,1,M.P.D. REPORT COMPLED,700.0,MARGARET ROBERTSON DR ,521B,H,23,36.181,-86.6,POINT (-86.59999999999999 36.181),37076,HERMITAGE
PD201800192058,02/21/2018 06:04:00 PM,20180170685,B,15,Community Policing Activity,12,LOCATION/BUILDING SECURE,3700.0,BELL RD ,2945,H,33,36.157,-86.619,POINT (-86.619 36.157),37076,HERMITAGE
PD201800191571,02/21/2018 03:43:00 PM,20180170267,B,96,Business Check,15,COMMUNITY POLICING,4400.0,LEBANON PKE ,5F35,H,25,36.216,-86.6,POINT (-86.59999999999999 36.216),37076,HERMITAGE
PD201800191094,02/21/2018 01:19:00 PM,20180169879,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,522A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800190765,02/21/2018 11:18:00 AM,20180169575,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & HIGHLAND,523A,H,23,36.207,-86.606,POINT (-86.60600000000001 36.207),37076,HERMITAGE
PD201800191385,02/21/2018 02:53:00 PM,20180170120,A,43,Want Officer for Investigation / Assistance,15,COMMUNITY POLICING,0.0,LAKE CHATEAU DR & BELL RD,523B,H,23,36.161,-86.596,POINT (-86.596 36.161),37076,HERMITAGE
PD201800191733,02/21/2018 04:36:00 PM,20180170411,B,96,Business Check,15,COMMUNITY POLICING,4300.0,LEBANON PKE ,5F34,H,23,36.205,-86.612,POINT (-86.61200000000001 36.205),37076,HERMITAGE
PD201800193959,02/22/2018 06:21:00 AM,20180172503,C,45,Vehicle Accident - Property Damage,1,M.P.D. REPORT COMPLED,5800.0,OLD HICKORY BLVD ,521A,H,23,36.169,-86.6,POINT (-86.59999999999999 36.169),37076,HERMITAGE
PD201800192725,02/21/2018 09:48:00 PM,20180171286,B,93,Traffic Violation,9,SUBJECT WARNED,5700.0,OLD HICKORY BLVD ,5F33,H,23,36.172,-86.601,POINT (-86.601 36.172),37076,HERMITAGE
PD201800193354,02/22/2018 01:49:00 AM,20180171896,C,96,Business Check,12,LOCATION/BUILDING SECURE,0.0,LEBANON PKE & BONNABROOK DR,5F13,H,21,36.192,-86.625,POINT (-86.625 36.192),37076,HERMITAGE
PD201800193685,02/22/2018 02:55:00 AM,20180172229,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & CENTRAL PKE,5F16,H,21,36.187,-86.631,POINT (-86.631 36.187),37076,HERMITAGE
PD201800194184,02/22/2018 08:06:00 AM,20180172676,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,BONNACREEK DR & JACKSONIAN DR,523A,H,21,36.196,-86.628,POINT (-86.62799999999999 36.196),37076,HERMITAGE
PD201800194052,02/22/2018 07:19:00 AM,20180172554,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,5F21,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800192938,02/21/2018 11:11:00 PM,20180171488,,71,Burglary - Non-Residence,6,ASSISTED OTHER UNIT,4400.0,LEBANON PKE ,533C,H,25,36.216,-86.602,POINT (-86.602 36.216),37076,HERMITAGE
PD201800193908,02/22/2018 05:50:00 AM,20180172436,C,96,Business Check,12,LOCATION/BUILDING SECURE,5700.0,OLD HICKORY BLVD ,523C,H,23,36.172,-86.601,POINT (-86.601 36.172),37076,HERMITAGE
PD201800192776,02/21/2018 10:06:00 PM,20180171329,B,96,Business Check,12,LOCATION/BUILDING SECURE,5800.0,OLD HICKORY BLVD ,5F17,H,21,36.167,-86.6,POINT (-86.59999999999999 36.167),37076,HERMITAGE
PD201800194060,02/22/2018 07:23:00 AM,20180172562,A,96,Business Check,12,LOCATION/BUILDING SECURE,5800.0,OLD HICKORY BLVD ,5F24,H,23,36.169,-86.6,POINT (-86.59999999999999 36.169),37076,HERMITAGE
PD201800192754,02/21/2018 10:00:00 PM,20180171312,B,93,Traffic Violation,9,SUBJECT WARNED,1500.0,HERMITAGE PARK DR ,5F36,H,23,36.166,-86.595,POINT (-86.595 36.166),37076,HERMITAGE
PD201800192965,02/21/2018 11:21:00 PM,20180171711,,43,Want Officer for Investigation / Assistance,9,SUBJECT WARNED,600.0,MARGARET ROBERTSON DR ,517C,H,23,36.179,-86.599,POINT (-86.59899999999999 36.179),37076,HERMITAGE
PD201800193875,02/22/2018 05:34:00 AM,20180172411,C,96,Business Check,12,LOCATION/BUILDING SECURE,3500.0,CENTRAL PKE ,525C,H,21,36.187,-86.629,POINT (-86.62899999999999 36.187),37076,HERMITAGE
PD201800193956,02/22/2018 06:19:00 AM,20180172479,C,96,Business Check,12,LOCATION/BUILDING SECURE,5400.0,OLD HICKORY BLVD ,522C,H,21,36.184,-86.609,POINT (-86.60899999999999 36.184),37076,HERMITAGE
PD201800193436,02/22/2018 02:06:00 AM,20180171980,C,96,Business Check,12,LOCATION/BUILDING SECURE,5400.0,OLD HICKORY BLVD ,522C,H,21,36.183,-86.609,POINT (-86.60899999999999 36.183),37076,HERMITAGE
PD201800192758,02/21/2018 10:01:00 PM,20180172118,B,50,Theft,5,GONE ON ARRIVAL,5700.0,OLD HICKORY BLVD ,522C,H,23,36.174,-86.602,POINT (-86.602 36.174),37076,HERMITAGE
PD201800192785,02/21/2018 10:08:00 PM,20180171694,B,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,4100.0,ANDREW JACKSON PKWY ,517C,H,23,36.19,-86.606,POINT (-86.60600000000001 36.19),37076,HERMITAGE
PD201800192818,02/21/2018 10:22:00 PM,20180172173,B,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,0.0,ANDREW JACKSON PKWY & LEBANON ,525C,H,25,36.215,-86.598,POINT (-86.598 36.215),37076,HERMITAGE
PD201800192606,02/21/2018 09:06:00 PM,20180171171,B,43,Want Officer for Investigation / Assistance,10,NO RESPONSE,4100.0,CENTRAL PKE ,525B,H,23,36.171,-86.597,POINT (-86.59700000000001 36.171),37076,HERMITAGE
PD201800192665,02/21/2018 09:27:00 PM,20180171272,B,44,Disorderly Person,4,ASSISTED CITIZEN,600.0,FRANKFORT DR ,524B,H,23,36.206,-86.594,POINT (-86.59399999999999 36.206),37076,HERMITAGE
PD201800192584,02/21/2018 08:57:00 PM,20180171180,B,87,Safety Hazard,4,ASSISTED CITIZEN,0.0,EXIT 221A I40 E,521B,H,21,36.166,-86.612,POINT (-86.61200000000001 36.166),37076,HERMITAGE
PD201800193625,02/22/2018 02:31:00 AM,20180172171,C,96,Business Check,12,LOCATION/BUILDING SECURE,3500.0,CENTRAL PKE ,5F17,H,21,36.187,-86.629,POINT (-86.62899999999999 36.187),37076,HERMITAGE
PD201800193029,02/21/2018 11:48:00 PM,20180171569,,96,Business Check,15,COMMUNITY POLICING,4100.0,LEBANON PKE ,5F13,H,21,36.199,-86.619,POINT (-86.619 36.199),37076,HERMITAGE
PD201800193067,02/22/2018 12:00:00 AM,20180171617,C,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,6000.0,OLD HICKORY BLVD ,517C,H,23,36.164,-86.596,POINT (-86.596 36.164),37076,HERMITAGE
PD201800192851,02/21/2018 10:37:00 PM,20180171395,B,93,Traffic Violation,9,SUBJECT WARNED,4700.0,ANDREW JACKSON PKWY ,5F13,H,25,36.22,-86.597,POINT (-86.59700000000001 36.22),37076,HERMITAGE
PD201800193970,02/22/2018 06:28:00 AM,20180172486,C,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,515C,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800193210,02/22/2018 12:56:00 AM,20180171758,C,43,Want Officer for Investigation / Assistance,9,SUBJECT WARNED,600.0,MARGARET ROBERTSON DR ,517C,H,23,36.179,-86.599,POINT (-86.59899999999999 36.179),37076,HERMITAGE
PD201800193792,02/22/2018 04:51:00 AM,20180172332,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & OLD HICKORY BLVD,521C,H,21,36.198,-86.62,POINT (-86.62 36.198),37076,HERMITAGE